"doctorid","mainspecialty","age"
"5FD0B37CD7DBBB00F97BA6CE92BF5ADD","PEDIATRICS","57"
"2B44928AE11FB9384C4CF38708677C48","Pediatrics","45"
"C45147DEE729311EF5B5C3003946C48F","Orthopedics","46"
"EB160DE1DE89D9058FCB0B968DBBBD68","Dermatology","54"
"5EF059938BA799AAA845E1C2E8A762BD","Orthodontics","61"
"07E1CD7DCA89A1678042477183B7AC3F","Internal Medicine","49"
"DA4FB5C6E93E74D3DF8527599FA62642","",""
"4C56FF4CE4AAF9573AA5DFF913DF997A","Surgery","45"
"A0A080F42E6F13B3A2DF133F073095DD","",""
"202CB962AC59075B964B07152D234B70","",""
"C8FFE9A587B126F152ED3D89A146B445","",""
"3DEF184AD8F4755FF269862EA77393DD","","61"
"069059B7EF840F0C74A814EC9237B6EC","Family medicine","60"
"EC5DECCA5ED3D6B8079E2E7E7BACC9F2","docmark_coli@yahoo.com","49"
"76DC611D6EBAAFC66CC0879C71B5DB5C","Pediatrics","45"
"D1F491A404D6854880943E5C3CD9CA25","s","34"
"9B8619251A19057CFF70779273E95AA6","Family Medicine","39"
"1AFA34A7F984EEABDBB0A7D494132EE5","a","44"
"65DED5353C5EE48D0B7D48C591B8F430","",""
"9FC3D7152BA9336A670E36D0ED79BC43","Family Medicine","31"
"02522A2B2726FB0A03BB19F2D8D9524D","Internal Medicine","50"
"7F1DE29E6DA19D22B51C68001E7E0E54","Surgery","48"
"42A0E188F5033BC65BF8D78622277C4E","General Surgery","65"
"3988C7F88EBCB58C6CE932B957B6F332","Internal medicine","36"
"013D407166EC4FA56EB1E1F8CBE183B9","Pedia","72"
"E00DA03B685A0DD18FB6A08AF0923DE0","","50"
"1385974ED5904A438616FF7BDB3F7439","",""
"0F28B5D49B3020AFEECD95B4009ADF4C","Family Medicine","64"
"A8BAA56554F96369AB93E4F3BB068C22","Neurosurgery","38"
"903CE9225FCA3E988C2AF215D4E544D3","Otolaryngology Head and Neck Surgery","46"
"0A09C8844BA8F0936C20BD791130D6B6","General Dentistry","37"
"2B24D495052A8CE66358EB576B8912C8","Surgery","35"
"A5E00132373A7031000FD987A3C9F87B","Orthopedics","45"
"8D5E957F297893487BD98FA830FA6413","",""
"47D1E990583C9C67424D369F3414728E","",""
"F2217062E9A397A1DCA429E7D70BC6CA","Software Developer","31"
"7EF605FC8DBA5425D6965FBD4C8FBE1F","Surgery","34"
"A8F15EDA80C50ADB0E71943ADC8015CF","Family and general dentistry","60"
"37A749D808E46495A8DA1E5352D03CAE","Internal Medicine","46"
"B3E3E393C77E35A4A3F3CBD1E429B5DC","Otolaryngology-Head & Neck Surgery","46"
"1D7F7ABC18FCB43975065399B0D1E48E","",""
"2A79EA27C279E471F4D180B08D62B00A","Pediatrics","40"
"1C9AC0159C94D8D0CBEDC973445AF2DA","",""
"6C4B761A28B734FE93831E3FB400CE87","Ob gyn","51"
"06409663226AF2F3114485AA4E0A23B4","Obstetrics and Gynecology","47"
"140F6969D5213FD0ECE03148E62E461E","Internal medicine","43"
"B73CE398C39F506AF761D2277D853A92","",""
"BD4C9AB730F5513206B999EC0D90D1FB","Obstetrics and Gynecology","46"
"82AA4B0AF34C2313A562076992E50AA3","Internal Medicine - Endocrinology","49"
"0777D5C17D4066B82AB86DFF8A46AF6F","general pediatrics","61"
"FA7CDFAD1A5AAF8370EBEDA47A1FF1C3","internal medicine","33"
"9766527F2B5D3E95D4A733FCFB77BD7E","",""
"7E7757B1E12ABCB736AB9A754FFB617A","Pediatrics","41"
"5878A7AB84FB43402106C575658472FA","",""
"006F52E9102A8D3BE2FE5614F42BA989","Family dentistry","33"
"3636638817772E42B59D74CFF571FBB3","",""
"149E9677A5989FD342AE44213DF68868","Pediatrician","68"
"A4A042CF4FD6BFB47701CBC8A1653ADA","Urology, Endoscopic Urology, Laparoscopic and Minimally Invasive Urology","51"
"1FF8A7B5DC7A7D1F0ED65AAA29C04B1E","",""
"F7E6C85504CE6E82442C770F7C8606F0","General Surgery","51"
"BF8229696F7A3BB4700CFDDEF19FA23F","General Medicine","42"
"82161242827B703E6ACF9C726942A1E4","Internal Medicine","40"
"38AF86134B65D0F10FE33D30DD76442E","","33"
"96DA2F590CD7246BBDE0051047B0D6F7","",""
"8F85517967795EEEF66C225F7883BDCB","","73"
"8F53295A73878494E9BC8DD6C3C7104F","General Physician","36"
"045117B0E0A11A242B9765E79CBF113F","Internal Medicine","65"
"FC221309746013AC554571FBD180E1C8","",""
"4C5BDE74A8F110656874902F07378009","Internal Medicine","61"
"CEDEBB6E872F539BEF8C3F919874E9D7","Pediatric Dentistry","53"
"6CDD60EA0045EB7A6EC44C54D29ED402","internal medicine","49"
"EECCA5B6365D9607EE5A9D336962C534","",""
"9872ED9FC22FC182D371C3E9ED316094","orthodontist ","58"
"31FEFC0E570CB3860F2A6D4B38C6490D","",""
"9DCB88E0137649590B755372B040AFAD","Pediatrics","46"
"A2557A7B2E94197FF767970B67041697","Endocrinology","38"
"CFECDB276F634854F3EF915E2E980C31","Pediatrics","57"
"0AA1883C6411F7873CB83DACB17B0AFC","Surgery","53"
"58A2FC6ED39FD083F55D4182BF88826D","Surgery","40"
"BD686FD640BE98EFAAE0091FA301E613","",""
"A597E50502F5FF68E3E25B9114205D4A","",""
"0336DCBAB05B9D5AD24F4333C7658A0E","","35"
"084B6FBB10729ED4DA8C3D3F5A3AE7C9","Orthodontist","48"
"85D8CE590AD8981CA2C8286F79F59954","",""
"0E65972DCE68DAD4D52D063967F0A705","Neurosurgery ","60"
"84D9EE44E457DDEF7F2C4F25DC8FA865","Entrepreneurship","55"
"3644A684F98EA8FE223C713B77189A77","ENT","43"
"757B505CFD34C64C85CA5B5690EE5293","General Practitioner","46"
"854D6FAE5EE42911677C739EE1734486","Internal Medicine","37"
"E2C0BE24560D78C5E599C2A9C9D0BBD2","Radiology","44"
"274AD4786C3ABCA69FA097B85867D9A4","General dentistry","65"
"EAE27D77CA20DB309E056E3D2DCD7D69","Family Medicine","71"
"7EABE3A1649FFA2B3FF8C02EBFD5659F","Pediatrics0112344","43"
"69ADC1E107F7F7D035D7BAF04342E1CA","Traditional Chinese Medicine Acupuncture","48"
"091D584FCED301B442654DD8C23B3FC9","Orthopedic Surgery","52"
"B1D10E7BAFA4421218A51B1E1F1B0BA2","Surgery","46"
"6F3EF77AC0E3619E98159E9B6FEBF557","",""
"EB163727917CBBA1EEA208541A643E74","",""
"1534B76D325A8F591B52D302E7181331","ENT (Otolaryngology)","47"
"979D472A84804B9F647BC185A877A8B5","Ear Nose Throat - Head & Neck Surgery (ENT-HNS)  Rhinoplasty and Facial Plastic Surgery","47"
"CA46C1B9512A7A8315FA3C5A946E8265","Adult Medicine","38"
"3B8A614226A953A8CD9526FCA6FE9BA5","",""
"45FBC6D3E05EBD93369CE542E8F2322D","Dermatology","55"
"63DC7ED1010D3C3B8269FAF0BA7491D4","General Practitioner","36"
"E96ED478DAB8595A7DBDA4CBCBEE168F","orthodontics","33"
"C0E190D8267E36708F955D7AB048990D","Dentistry ","45"
"EC8CE6ABB3E952A85B8551BA726A1227","internal medicine","44"
"060AD92489947D410D897474079C1477","Internal Medicine","39"
"BCBE3365E6AC95EA2C0343A2395834DD","general dentistry,orthodontics ","46"
"115F89503138416A242F40FB7D7F338E","Obstetrics & Gynecology","56"
"13FE9D84310E77F13A6D184DBF1232F3","General Surgery","43"
"D1C38A09ACC34845C6BE3A127A5AACAF","Anesthesiologist","55"
"9CFDF10E8FC047A44B08ED031E1F0ED1","",""
"705F2172834666788607EFBFCA35AFB3","Internal Medicine","54"
"74DB120F0A8E5646EF5A30154E9F6DEB","Obstetrician/Gynecologist","54"
"57AEEE35C98205091E18D1140E9F38CF","Pediatrics","67"
"6DA9003B743B65F4C0CCD295CC484E57","Orthopedics","60"
"9B04D152845EC0A378394003C96DA594","Internal Medicine","47"
"BE83AB3ECD0DB773EB2DC1B0A17836A1","Pediatrics","47"
"E165421110BA03099A1C0393373C5B43","",""
"289DFF07669D7A23DE0EF88D2F7129E7","Internal medicine","54"
"577EF1154F3240AD5B9B413AA7346A1E","Aesthetic Dermatologist and Cosmetic Surgery","45"
"01161AAA0B6D1345DD8FE4E481144D84","Pediatrics","60"
"539FD53B59E3BB12D203F45A912EEAF2","General Surgery, Neurosurgery","49"
"AC1DD209CBCC5E5D1C6E28598E8CBBE8","Otorhinolaryngologist-Head & Neck Surgery/ENT","42"
"555D6702C950ECB729A966504AF0A635","",""
"335F5352088D7D9BF74191E006D8E24C","Psychiatry","62"
"F340F1B1F65B6DF5B5E3F94D95B11DAF","",""
"E4A6222CDB5B34375400904F03D8E6A5","Urology","54"
"CB70AB375662576BD1AC5AAF16B3FCA4","Orthopaedic Surgery","46"
"9188905E74C28E489B44E954EC0B9BCA","General Surgery and Cancer Surgery/Breast Cancer Surgery, Laparoscopic Cholecystectomy, Thyroid Surgery","68"
"0266E33D3F546CB5436A10798E657D97","internal Medicine","42"
"38DB3AED920CF82AB059BFCCBD02BE6A","",""
"3CEC07E9BA5F5BB252D13F5F431E4BBB","Family Medicine","68"
"621BF66DDB7C962AA0D22AC97D69B793","Anesthesia","49"
"077E29B11BE80AB57E1A2ECABB7DA330","Anesthesiology","41"
"6C9882BBAC1C7093BD25041881277658","Otorhinolaryngology - Head and Neck Surgery","42"
"19F3CD308F1455B3FA09A282E0D496F4","General Surgery","42"
"03C6B06952C750899BB03D998E631860","Family Medicine","36"
"C24CD76E1CE41366A4BBE8A49B02A028","ENT-HNS","43"
"C52F1BD66CC19D05628BD8BF27AF3AD6","Orthopedics","62"
"FE131D7F5A6B38B23CC967316C13DAE2","",""
"F718499C1C8CEF6730F9FD03C8125CAB","pediatrics","58"
"D96409BF894217686BA124D7356686C9","",""
"502E4A16930E414107EE22B6198C578F","Anesthesiology","65"
"CFA0860E83A4C3A763A7E62D825349F7","Orthodontist and  Oral Surgeon","53"
"A4F23670E1833F3FDB077CA70BBD5D66","Ophthalmology","59"
"B1A59B315FC9A3002CE38BBE070EC3F5","Family Medicine","45"
"36660E59856B4DE58A219BCF4E27EBA3","Neurosurgery","35"
"8C19F571E251E61CB8DD3612F26D5ECF","",""
"D6BAF65E0B240CE177CF70DA146C8DC8","General and Cancer Surgeon","58"
"E56954B4F6347E897F954495EAB16A88","pediatrics","47"
"F7664060CC52BC6F3D620BCEDC94A4B6","Internal Medicine","37"
"EDA80A3D5B344BC40F3BC04F65B7A357","OB Gyn","65"
"8F121CE07D74717E0B1F21D122E04521","Pediatrics","60"
"06138BC5AF6023646EDE0E1F7C1EAC75","Urology","52"
"39059724F73A9969845DFE4146C5660E","Physical Medicine and Rehabilitation","49"
"7F100B7B36092FB9B06DFB4FAC360931","General Physician","46"
"7A614FD06C325499F1680B9896BEEDEB","Family Medicine","62"
"4734BA6F3DE83D861C3176A6273CAC6D","",""
"D947BF06A885DB0D477D707121934FF8","Pediatrics","62"
"63923F49E5241343AA7ACB6A06A751E7","Orthopedic surgery","41"
"DB8E1AF0CB3ACA1AE2D0018624204529","General Surgery","38"
"20F07591C6FCB220FFE637CDA29BB3F6","",""
"07CDFD23373B17C6B337251C22B7EA57","Cataract Surgeon and Comprehensive Ophthalmologist","37"
"D395771085AAB05244A4FB8FD91BF4EE","Urology","57"
"92C8C96E4C37100777C7190B76D28233","Obstetrics and Gynecology","49"
"E3796AE838835DA0B6F6EA37BCF8BCB7","General Dentistry","51"
"6A9AEDDFC689C1D0E3B9CCC3AB651BC5","General Surgery","36"
"0F49C89D1E7298BB9930789C8ED59D48","internal medicine","46"
"46BA9F2A6976570B0353203EC4474217","Child and Adult Psychiatry","47"
"0E01938FC48A2CFB5F2217FBFB00722D","Alternative and Integrative Medicine","62"
"16A5CDAE362B8D27A1D8F8C7B78B4330","Internal Medicine","37"
"918317B57931B6B7A7D29490FE5EC9F9","Family Medicine","61"
"48AEDB8880CAB8C45637ABC7493ECDDD","General and Basic Laparoscopic Surgery","38"
"839AB46820B524AFDA05122893C2FE8E","",""
"F90F2ACA5C640289D0A29417BCB63A37","Dermatology","55"
"9C838D2E45B2AD1094D42F4EF36764F6","General Surgery","38"
"1700002963A49DA13542E0726B7BB758","",""
"53C3BCE66E43BE4F209556518C2FCB54","Primary Care","46"
"6883966FD8F918A4AA29BE29D2C386FB","Internal Medicine","46"
"49182F81E6A13CF5EAA496D51FEA6406","Pediatrics","50"
"D296C101DAA88A51F6CA8CFC1AC79B50","Orthopedic Surgery","46"
"9FD81843AD7F202F26C1A174C7357585","Pediatrics","64"
"26E359E83860DB1D11B6ACCA57D8EA88","General dentistry","63"
"EF0D3930A7B6C95BD2B32ED45989C61F","General Pediatrics","44"
"94F6D7E04A4D452035300F18B984988C","Internal Medicine","37"
"34ED066DF378EFACC9B924EC161E7639","Oral & Maxillofacial Surgery","42"
"577BCC914F9E55D5E4E4F82F9F00E7D4","Obstetrics and Gynecology","66"
"11B9842E0A271FF252C1903E7132CD68","Pediatrics","65"
"37BC2F75BF1BCFE8450A1A41C200364C","Internal Medicine","42"
"496E05E1AEA0A9C4655800E8A7B9EA28","Cardiac Surgery","43"
"B2EB7349035754953B57A32E2841BDA5","pediatric","49"
"8E98D81F8217304975CCB23337BB5761","",""
"A8C88A0055F636E4A163A5E3D16ADAB7","Emergency Medicine","38"
"EDDEA82AD2755B24C4E168C5FC2EBD40","Orthodontics","49"
"06EB61B839A0CEFEE4967C67CCB099DC","internal Medicine, General Oncology","52"
"9DFCD5E558DFA04AAF37F137A1D9D3E5","general surgery","53"
"950A4152C2B4AA3AD78BDD6B366CC179","PATHOLOGIST","41"
"158F3069A435B314A80BDCB024F8E422","Internal Medicine","62"
"758874998F5BD0C393DA094E1967A72B","Surgery","42"
"AD13A2A07CA4B7642959DC0C4C740AB6","",""
"3FE94A002317B5F9259F82690AEEA4CD","Internal Medicine","42"
"5B8ADD2A5D98B1A652EA7FD72D942DAC","psychiatric","43"
"432ACA3A1E345E339F35A30C8F65EDCE","pediatrics","40"
"8D3BBA7425E7C98C50F52CA1B52D3735","Plastic Surgery, Reconstructive and Aesthetic Surgery, Burns Surgery","39"
"320722549D1751CF3F247855F937B982","Internal Medicine","37"
"CAF1A3DFB505FFED0D024130F58C5CFA","Pediatrics","50"
"5737C6EC2E0716F3D8A7A5C4E0DE0D9A","",""
"BC6DC48B743DC5D013B1ABAEBD2FAED2","Orthodontics,Endodontics","45"
"F2FC990265C712C49D51A18A32B39F0C","Internal Medicine","47"
"89F0FD5C927D466D6EC9A21B9AC34FFA","Pediatrics","43"
"A666587AFDA6E89AEC274A3657558A27","Urology","60"
"B83AAC23B9528732C23CC7352950E880","",""
"CD00692C3BFE59267D5ECFAC5310286C","Internal Medicine","47"
"6FAA8040DA20EF399B63A72D0E4AB575","Pediatrics","47"
"FE73F687E5BC5280214E0486B273A5F9","Psychiatry","58"
"6DA37DD3139AA4D9AA55B8D237EC5D4A","",""
"C042F4DB68F23406C6CECF84A7EBB0FE","surgery","81"
"310DCBBF4CCE62F762A2AAA148D556BD","Surgery","39"
"2F2B265625D76A6704B08093C652FD79","Internal Medicine","47"
"F9B902FC3289AF4DD08DE5D1DE54F68F","Optometrist","42"
"6855456E2FE46A9D49D3D3AF4F57443D","",""
"357A6FDF7642BF815A88822C447D9DC4","Occupational Medicine / General Practice","46"
"819F46E52C25763A55CC642422644317","Urology","44"
"04025959B191F8F9DE3F924F0940515F","Pediatrics","55"
"40008B9A5380FCACCE3976BF7C08AF5B","General Surgery","40"
"3DD48AB31D016FFCBF3314DF2B3CB9CE","Obstetrics Gynecology","65"
"58238E9AE2DD305D79C2EBC8C1883422","Orthopaedic surgery","43"
"3AD7C2EBB96FCBA7CDA0CF54A2E802F5","Primary skin-health care","52"
"B3967A0E938DC2A6340E258630FEBD5A","general","39"
"D81F9C1BE2E08964BF9F24B15F0E4900","Pediatrics","48"
"13F9896DF61279C928F19721878FAC41","General Practitioner","35"
"C5FF2543B53F4CC0AD3819A36752467B","Internal Medicine","45"
"01386BD6D8E091C2AB4C7C7DE644D37B","",""
"0BB4AEC1710521C12EE76289D9440817","PEDIATRICS ","65"
"9DE6D14FFF9806D4BCD1EF555BE766CD","Internal Medicine","42"
"EFE937780E95574250DABE07151BDC23","",""
"371BCE7DC83817B7893BCDEED13799B5","General Surgery","53"
"138BB0696595B338AFBAB333C555292A","",""
"8DD48D6A2E2CAD213179A3992C0BE53C","Obstetrics and Gynecology","53"
"82CEC96096D4281B7C95CD7E74623496","General Surgery","56"
"6C524F9D5D7027454A783C841250BA71","OB-GYNE","41"
"FB7B9FFA5462084C5F4E7E85A093E6D7","Internal Medicine","53"
"AA942AB2BFA6EBDA4840E7360CE6E7EF","internal medicine","41"
"C058F544C737782DEACEFA532D9ADD4C","",""
"E7B24B112A44FDD9EE93BDF998C6CA0E","Dermatology","62"
"52720E003547C70561BF5E03B95AA99F","Optometry",""
"C3E878E27F52E2A57ACE4D9A76FD9ACF","Otolaryngology - Head & Neck Surgery","58"
"00411460F7C92D2124A67EA0F4CB5F85","","69"
"BAC9162B47C56FC8A4D2A519803D51B3","Orthopaedic Surgery","39"
"9BE40CEE5B0EEE1462C82C6964087FF9","Dermatology","63"
"5EF698CD9FE650923EA331C15AF3B160","Internal Medicine","58"
"05049E90FA4F5039A8CADC6ACBB4B2CC","Family Medicine","34"
"CF004FDC76FA1A4F25F62E0EB5261CA3","","41"
"0C74B7F78409A4022A2C4C5A5CA3EE19","",""
"D709F38EF758B5066EF31B18039B8CE5","Family Medicine","65"
"41F1F19176D383480AFA65D325C06ED0","Obstetrics and Gynecology","43"
"24B16FEDE9A67C9251D3E7C7161C83AC","General Medicine ","52"
"FFD52F3C7E12435A724A8F30FDDADD9C","orthodontics","57"
"AD972F10E0800B49D76FED33A21F6698","Internal medicine","57"
"F61D6947467CCD3AA5AF24DB320235DD","Orthopedic Surgeon","69"
"142949DF56EA8AE0BE8B5306971900A4","General, Cancer & Laparoscopic Surgery","66"
"D34AB169B70C9DCD35E62896010CD9FF","",""
"8BF1211FD4B7B94528899DE0A43B9FB3","",""
"A02FFD91ECE5E7EFEB46DB8F10A74059","OB-GYN","46"
"BCA82E41EE7B0833588399B1FCD177C7","Med","41"
"00EC53C4682D36F5C4359F4AE7BD7BA1","Psychiatry","59"
"4F6FFE13A5D75B2D6A3923922B3922E5","General Surgery","57"
"BEED13602B9B0E6ECB5B568FF5058F07","Neurology","65"
"0584CE565C824B7B7F50282D9A19945B","",""
"DC912A253D1E9BA40E2C597ED2376640","General Dentistry","58"
"39461A19E9EDDFB385EA76B26521EA48","Ophthalmology - Diseases and Surgery of the Eye","54"
"8EFB100A295C0C690931222FF4467BB8","",""
"D9FC5B73A8D78FAD3D6DFFE419384E70","pediatrics","45"
"C86A7EE3D8EF0B551ED58E354A836F2B","Pulmonary Medicine","42"
"A01A0380CA3C61428C26A231F0E49A09","Pediatrics","65"
"5A4B25AAED25C2EE1B74DE72DC03C14E","Physical Medicine and Rehabilitation","39"
"F73B76CE8949FE29BF2A537CFA420E8F","Family medicines","160"
"70C639DF5E30BDEE440E4CDF599FEC2B","General Surgery","49"
"28F0B864598A1291557BED248A998D4E","Anesthesia","42"
"1543843A4723ED2AB08E18053AE6DC5B","Dermatology","44"
"F8C1F23D6A8D8D7904FC0EA8E066B3BB","Internal Medicine","39"
"E46DE7E1BCAACED9A54F1E9D0D2F800D","Family Medicine","62"
"B7B16ECF8CA53723593894116071700C","internal medicine","55"
"352FE25DAF686BDB4EDCA223C921ACEA","General Practice","61"
"18D8042386B79E2C279FD162DF0205C8","Dermatology","47"
"816B112C6105B3EBD537828A39AF4818","",""
"69CB3EA317A32C4E6143E665FDB20B14","Pediatrics","53"
"BBF94B34EB32268ADA57A3BE5062FE7D","",""
"4F4ADCBF8C6F66DCFC8A3282AC2BF10A","Pediatrics","60"
"BBCBFF5C1F1DED46C25D28119A85C6C2","Dermatology","53"
"8CB22BDD0B7BA1AB13D742E22EED8DA2","",""
"F4F6DCE2F3A0F9DADA0C2B5B66452017","General Dentistry","49"
"0D0FD7C6E093F7B804FA0150B875B868","",""
"A96B65A721E561E1E3DE768AC819FFBB","",""
"1068C6E4C8051CFD4E9EA8072E3189E2","",""
"17D63B1625C816C22647A73E1482372B","Internal Medicine","57"
"B9228E0962A78B84F3D5D92F4FAA000B","",""
"0DEB1C54814305CA9AD266F53BC82511","",""
"66808E327DC79D135BA18E051673D906","Obstetrics and Gynecology","57"
"42E7AAA88B48137A16A1ACD04ED91125","",""
"8FE0093BB30D6F8C31474BD0764E6AC0","General surgery","39"
"41AE36ECB9B3EEE609D05B90C14222FB","Ent","48"
"D1F255A373A3CEF72E03AA9D980C7ECA","Internal Medicine ","55"
"7EACB532570FF6858AFD2723755FF790","Internal medicine","41"
"B6F0479AE87D244975439C6124592772","Internal Medicine","47"
"E0C641195B27425BB056AC56F8953D24","General, Cancer & Laparoscopic-Robotic Surgery","60"
"F85454E8279BE180185CAC7D243C5EB3","Primary  Care","45"
"FAA9AFEA49EF2FF029A833CCCC778FD0","OB-GyN","48"
"3C7781A36BCD6CF08C11A970FBE0E2A6","Ophthalmology","48"
"25B2822C2F5A3230ABFADD476E8B04C9","Family medicine","39"
"6ECBDD6EC859D284DC13885A37CE8D81","INTERNAL MEDICINE","36"
"18997733EC258A9FCAF239CC55D53363","Obstetrics & Gynecology","57"
"8D7D8EE069CB0CBBF816BBB65D56947E","Internal Medicine","60"
"75FC093C0EE742F6DDDAA13FFF98F104","Anesthesiology","44"
"F74909ACE68E51891440E4DA0B65A70C","therapy","37"
"66368270FFD51418EC58BD793F2D9B1B","Pediatrics","42"
"248E844336797EC98478F85E7626DE4A","","70"
"019D385EB67632A7E958E23F24BD07D7","internal blah","34"
"A49E9411D64FF53ECCFDD09AD10A15B3","Cellular Nutrition","45"
"DDB30680A691D157187EE1CF9E896D03","",""
"2421FCB1263B9530DF88F7F002E78EA5","General Surgery","53"
"FCCB60FB512D13DF5083790D64C4D5DD","General medicine","47"
"1651CF0D2F737D7ADEAB84D339DBABD3","Family Medicine, Health Science","60"
"EED5AF6ADD95A9A6F1252739B1AD8C24","INTERNAL MEDICINE","54"
"A8ABB4BB284B5B27AA7CB790DC20F80B","General Adult Psychiatry","46"
"15D4E891D784977CACBFCBB00C48F133","",""
"C203D8A151612ACF12457E4D67635A95","General Dentistry/Orthodontics","52"
"13F3CF8C531952D72E5847C4183E6910","Obstetrics & Gynecology","55"
"550A141F12DE6341FBA65B0AD0433500","General Surgery","46"
"67F7FB873EAF29526A11A9B7AC33BFAC","internal Medicine","56"
"1A5B1E4DAAE265B790965A275B53AE50","",""
"9A96876E2F8F3DC4F3CF45F02C61C0C1","Adult Neurology","41"
"9B70E8FE62E40C570A322F1B0B659098","",""
"D61E4BBD6393C9111E6526EA173A7C8B","obstetrics and gynecology","43"
"F5F8590CD58A54E94377E6AE2EDED4D9","Urology","38"
"941E1AAABA585B952B62C14A3A175A61","",""
"9431C87F273E507E6040FCB07DCB4509","General Surgery","45"
"49AE49A23F67C759BF4FC791BA842AA2","OB-Gyn","45"
"E44FEA3BEC53BCEA3B7513CCEF5857AC","Orthopaedic Surgery","37"
"821FA74B50BA3F7CBA1E6C53E8FA6845","","38"
"250CF8B51C773F3F8DC8B4BE867A9A02","Internal Medicine","57"
"42998CF32D552343BC8E460416382DCA","Internal Medicine","40"
"D07E70EFCFAB08731A97E7B91BE644DE","Internal Medicine","64"
"7FE1F8ABAAD094E0B5CB1B01D712F708","Internal Medicine","40"
"98B297950041A42470269D56260243A1","Neurosurgery","49"
"0353AB4CBED5BEAE847A7FF6E220B5CF","Orthopaedic Surgeon","48"
"51D92BE1C60D1DB1D2E5E7A07DA55B26","Medical Oncology ","69"
"428FCA9BC1921C25C5121F9DA7815CDE","Family Medicine","50"
"F1B6F2857FB6D44DD73C7041E0AA0F19","Clinician","36"
"68CE199EC2C5517597CE0A4D89620F55","",""
"E836D813FD184325132FCA8EDCDFB40E","",""
"AB817C9349CF9C4F6877E1894A1FAA00","",""
"877A9BA7A98F75B90A9D49F53F15A858","Pediatric ","34"
"DC6A6489640CA02B0D42DABEB8E46BB7","jj","26"
"26337353B7962F533D78C762373B3318","Surgery","54"
"8E6B42F1644ECB1327DC03AB345E618B","Internal Medicine","49"
"EF575E8837D065A1683C022D2077D342","",""
"2050E03CA119580F74CCA14CC6E97462","",""
"25DDC0F8C9D3E22E03D3076F98D83CB2","",""
"5EF0B4EBA35AB2D6180B0BCA7E46B6F9","Ophthalmology","49"
"598B3E71EC378BD83E0A727608B5DB01","General Dentistry","46"
"74071A673307CA7459BCF75FBD024E09","General Surgery","41"
"CFEE398643CBC3DC5EEFC89334CACDC1","Cosmetic surgery","51"
"D18F655C3FCE66CA401D5F38B48C89AF","pediatrics. family medicine","70"
"6EA2EF7311B482724A9B7B0BC0DD85C6","internal medicine","51"
"9461CCE28EBE3E76FB4B931C35A169B0","Surgery","53"
"F770B62BC8F42A0B66751FE636FC6EB0","General Physician","37"
